Mass,RT,Blank01,Blank02,Blank03,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,QC01,QC02,QC03,QC04,QC05,QC06
226.1678,2.38,641453.9258,635814.5534,659535.3273,685955.2878,855302.6767,716715.7667,693029.259,649737.6964,706026.7948,675172.2144,675968.5478,681538.5653,690318.3992,709301.8464,770701.9706,681965.9825,673218.0183,673523.3689,665858.3536,674703.0881,662047.3294,665862.1313,717469.2112,683574.571,653310.9064,688398.7904,670136.184,687045.4274,859804.2001,727509.4951,716841.5552,702059.1654,671898.9886,,728143.6026,751469.7827,759077.5853,751468.7055,680903.5009
400.9823,0.61,,,,409374.6457,278557.5426,352449.7034,416397.6984,209263.5604,,366536.6143,452494.7273,254899.6599,292810.9231,214617.6198,309274.3983,454300.3406,338105.0195,329080.0792,485502.0886,484309.4732,508662.3479,315999.5235,185787.2634,472540.4423,472800.6824,486202.6923,547985.1225,518720.8594,371332.6672,445499.5469,439407.6694,456696.8048,480253.2261,279350.7637,300979.3832,346441.4612,361372.9055,388326.6111,413390.0476
406.2319,4.79,16335.55965,,21829.1985,,85147.26948,36802.9936,,70469.78856,,41291.27471,,,,,,,,,121649.7567,,,,527703.3404,,,,,,,,41748.70013,237582.1931,,65539.4993,,69718.38792,,75663.5742,70191.2462
201.1377,3.61,,,77558.08366,290051.0912,122464.0202,64329.61384,,500066.1797,123261.3512,64039.6664,169396.5838,95875.8003,552642.2869,33562.75101,,70500.07453,,,93386.16418,,,70853.95446,,51416.38964,113816.5712,37162.07252,44747.26441,,221253.2994,,65061.96084,68675.88769,25730.11127,78811.74792,105199.5167,70988.6832,83982.0155,71157.12604,76482.55793
308.1192,2.42,,,,,,,,,468092.5652,305390.6597,,343507.7506,563683.8224,800996.2312,,1033515.347,147273.0476,810320.9815,,,,,,,,407525.2282,581510.5464,410694.5992,561416.6523,642268.2593,683353.0231,730851.0815,932760.0897,,432589.487,324213.1808,322095.2266,325846.4887,444684.2812
355.1351,3.99,,,,,,,,,159399.8736,269831.1213,109583.3836,281667.3401,284879.5002,463446.0929,146070.1092,194357.3182,111688.8523,255679.6639,,,,,,,,115874.9474,199399.0297,81381.85624,61823.02635,71752.5742,111882.3439,272885.146,105475.385,109675.3091,114968.9429,114610.3369,118595.9158,122652.9054,123324.1246
241.9183,0.34,,,,,146282.5993,105838.6173,165050.9361,155048.8764,,193736.8985,,,207568.6832,268794.743,,,,250944.8882,,,,287676.3184,,,206696.0822,202641.4646,220455.1699,197409.0437,,,,267653.348,572576.1931,229394.9958,,225519.1493,,221184.0852,234497.0797
257.1032,0.65,,9441.460054,16440.79395,,,,,,298792.4684,,343064.9212,395355.0983,296947.5079,,,,,,,,,,,,,379303.2816,456766.0976,,,,,,,299735.4836,312347.2966,,,,
444.1307,2.21,,,,,122818.1751,157645.3096,239231.8321,65059.23677,138782.6465,65222.78095,78860.55545,462037.6295,136403.7008,78636.30036,36158.41692,56288.44484,,58867.57665,81306.63285,285250.2417,247863.6149,128959.6077,76948.46428,141853.8318,135514.7979,91958.50544,86273.88291,129786.9835,216453.7277,59889.3346,244137.1305,202966.5733,134220.8315,111697.4898,114056.7423,112206.8257,115225.1701,125641.7388,122823.9799
114.0465,2.07,,,,225408.578,,246403.1041,278429.256,,,,421757.2738,519445.5185,,,,274294.3011,208459.2435,378430.2344,320408.9343,282532.4027,331127.7184,186564.6642,379938.2762,427797.108,,242791.6469,288259.1997,263102.2342,,457955.4934,,,,,,339233.2567,,358175.4938,
504.1688,0.46,,17333.46459,,175826.7776,181537.1546,199223.5357,174429.5824,144537.9955,460783.5736,304610.652,330662.4586,300631.7176,344041.2631,290279.7697,183269.0912,195739.2826,156989.2112,238911.6061,132332.9805,88664.19578,60795.98218,144538.7192,346559.8102,185636.6811,189198.9241,181622.6903,182476.9334,194643.8542,124527.4936,177071.0803,152121.2219,193033.3994,185697.4092,245333.2559,243456.8181,229584.9491,229617.4648,228462.4003,217399.7486
138.043,0.64,52903.46034,47683.59175,295366.8528,538211.0692,238781.1019,227912.6089,264658.1585,175915.6694,220702.2909,239165.0569,257020.4176,442792.7211,351843.0897,124149.0286,160670.5669,118492.9815,106073.5949,134531.4397,246818.3441,145857.4477,234841.2791,160558.3236,261047.8333,192438.48,146332.6868,211337.4446,135745.9304,176553.1639,132962.5958,113358.6833,151105.3462,102241.6502,124365.1619,185114.7482,182105.5543,177892.9045,182955.5444,186965.0724,192553.1644
318.121,2.97,,,,,,,,,328074.2855,256472.352,105033.3571,387886.9539,475444.7651,455787.3797,273267.5146,261562.568,219603.1567,284191.6815,,,,,,,,178266.0566,227102.329,144021.0378,277833.3537,302012.058,327653.844,372345.1887,289444.6076,189626.161,208538.2643,183042.7581,180103.4073,182200.4083,169279.1202
469.135,0.85,,,,42222.08231,140256.0513,89471.84915,93656.89173,50908.11518,123384.401,92807.2677,52453.04964,109394.9177,100477.2866,211373.2244,124920.5135,215725.1873,121728.643,167982.0863,154654.6751,198507.981,63356.37197,472732.3906,108046.0189,82403.95437,95923.61592,88700.38016,50094.0706,116861.0555,126795.2251,34829.59691,141710.7536,51310.25582,177184.8293,125625.4467,125148.8799,129860.346,129310.8408,133448.3181,129754.8736
423.0943,0.92,,,,180671.196,442014.1146,204066.0733,238367.835,226756.9344,332060.7611,426448.0043,233717.9674,361904.4586,485206.9557,316489.2145,240394.0566,259537.2144,199785.9148,295956.9418,292031.8582,268113.7283,274793.4114,221779.5299,296792.6002,221953.5673,267128.2016,216691.7637,236075.9752,231996.4242,183000.9985,229528.2152,197886.725,305211.0394,194745.2213,278811.444,268515.0813,263499.8053,260779.6475,267230.226,282621.2906
87.0682,0.45,394813.2788,523790.3495,346705.109,,14805.49663,29579.60354,,30520.21513,53785.02361,,24217.70015,14108.0591,,19659.50037,37614.30273,24354.14697,33407.32511,9818.814263,30168.76256,14351.07073,21696.03811,40242.96919,,18153.30847,15412.51518,,,31494.32885,23371.87103,,21974.19639,,25078.7429,24692.18129,33845.54786,26057.75836,31267.37026,25994.48421,9690.183715
135.9732,0.58,1360793.892,1374778.773,99235.40773,590575.9565,159981.6728,271274.2156,145224.1009,321972.4616,179255.0025,188160.1094,263083.8962,162050.3729,534806.9109,981958.8884,141419.7932,252479.4715,369960.3514,195263.6844,224712.3535,241420.639,246685.666,192994.9408,224362.1804,244541.5773,173290.6947,221562.7607,211418.4867,202390.9636,165258.2188,239644.1432,127271.2408,993063.9983,189653.9851,169431.8122,139261.8169,284069.5676,301858.749,320034.1837,224017.5025
178.0552,3.94,,,,,,,,,250263.2808,228721.6424,148378.4656,406734.519,186446.4867,219503.6632,263318.2086,93002.24726,218242.3712,271535.93,,,,,,,,365252.0585,317855.0889,223547.2863,146858.3443,236203.1158,178748.266,521903.1458,193982.9776,140803.0401,139394.023,139947.601,145967.951,150826.4738,160311.7716
310.1158,1.76,,,,345856.7828,458655.528,327702.4079,230122.5602,250139.2548,329652.4831,412822.0719,376587.3153,,468197.1636,92211.0879,161352.6003,135299.6118,132306.1337,181939.2105,420093.9064,338899.3323,462366.3673,235959.2574,465487.5964,397604.3393,283334.2611,124015.4937,253323.7186,110164.3945,106736.746,194631.9773,,253223.9306,210005.8793,263402.4271,283519.1592,263591.4158,279574.4876,300051.3261,292529.7547
213.083,4.32,377495.6901,447216.2422,367847.6723,500986.4719,572533.4365,484195.5508,397600.6256,476251.3291,525459.3119,355123.1485,504821.8062,450623.1793,479682.3887,332163.8749,475297.6708,419720.6768,445496.7109,360311.4642,446259.4227,534982.2467,432250.8691,475869.3719,535169.6196,448042.309,499988.0533,406868.5361,437747.922,349432.8673,542487.1376,496600.4743,438857.222,395433.0768,369476.1511,523080.574,525108.1466,534190.1024,353078.523,379141.1328,452082.6262
140.0585,0.48,8053.83928,10092.82294,12506.37398,453928.9651,480563.1127,346964.1778,358675.5359,248479.4543,339512.0849,211634.192,219021.583,145480.6153,148831.0457,163609.2564,306314.6877,266431.2193,163731.0336,239051.667,471046.8613,448472.7617,440834.1286,510967.8565,526280.7517,294765.3084,286843.9168,425494.7656,345996.7258,395978.0976,223335.5077,210045.65,238370.2178,225442.2381,162124.5154,192273.5334,189692.2766,226295.6713,219180.4776,211114.4243,341460.5644
109.0277,1.35,,,,256542.429,333200.5987,268924.1333,315351.5833,327461.2588,462523.0969,425250.2659,329477.4042,524200.4986,553684.8004,519131.037,301528.4973,222451.2529,254515.2267,370674.5309,256704.8636,,,291213.5165,508871.1394,234752.2927,,,,,,185295.8525,,302156.3806,,284210.5001,296860.4624,314368.3678,333329.7811,350916.5042,340492.184
287.0573,1.25,,,,105345.2923,292609.6727,143845.5872,113180.9532,141863.724,279510.5615,332875.2748,40335.79462,227193.1721,417873.941,476029.5887,346343.917,346335.3694,338697.5595,394988.2993,124641.7507,144708.0964,119448.3284,31654.64954,78468.27396,249880.6632,268063.4371,259787.5538,211500.7676,227907.4579,122827.5324,108119.4236,178900.0524,274498.2713,268219.5578,228090.4967,234429.6832,222883.4107,221135.1767,219448.0562,229580.2115
69.0582,0.43,26887.36671,,,436042.8627,532426.159,430432.6291,379290.67,314239.9987,406616.9851,474649.0215,433438.5432,497622.3608,494536.3366,190618.4244,241438.955,159104.3897,303838.6738,208833.0262,454395.6293,474510.2815,445374.3684,345926.6848,453008.1946,372295.578,377697.1004,271706.9101,281983.1929,229754.0571,243795.8535,358347.9764,305951.0328,317374.1361,234529.0998,350449.2813,356123.6511,362354.751,352186.6372,362272.9447,369825.7459
1775.9538,4.23,,,,53350.06885,129265.5245,50617.08789,91165.22731,70281.21174,396898.5925,454935.9751,319212.5598,315489.939,412695.6517,527687.7603,310809.6084,295488.3896,175962.886,358866.6793,111103.5289,120943.4399,95277.83139,34053.09998,105026.4584,255607.6424,350440.6512,274738.0099,350292.5098,312823.3734,225158.1996,305273.3949,331344.0799,469908.2098,278152.4471,250047.2728,252753.3346,240058.3952,241915.4939,237379.7704,245383.0596
99.0684,1.73,1648412.541,1236313.375,1694199.516,754011.5056,362270.4685,997712.3087,581183.5087,1538181.844,283675.597,258145.5675,176661.0032,,178790.1758,168288.3858,633823.0548,1275805.125,243322.2677,202855.6429,281738.0433,930693.0067,749114.4875,1236680.357,1018596.72,342839.3027,782362.5218,291996.8699,512487.717,2107492.843,686543.4982,907953.3753,162684.1442,186037.4951,972837.5349,661858.1248,569484.1777,198057.2297,341448.4799,230585.6944,238087.8771
55.0428,0.62,,,,362841.8513,503113.0993,401921.7385,369658.581,227234.6446,432007.0464,493703.0995,436791.4203,475827.932,531295.0874,289758.8085,202979.5581,175572.8667,316940.678,260723.7324,460356.7584,354975.9906,415609.4562,259876.7387,472517.2908,406004.0753,371992.3655,251573.105,279319.6786,193123.5938,220271.1831,470552.8262,319252.0647,401645.1036,399692.5139,341267.6592,316860.2173,350675.0084,364277.6264,378198.2552,403448.151
80.0103,0.54,,,,124278.294,269301.892,321766.3835,349043.98,537258.105,260087.7423,387411.7295,127514.5925,307375.5934,360431.1847,390942.8092,87402.46301,155257.0326,34860.35699,296909.4863,119010.2012,74648.51285,42654.20468,124796.7372,138740.1239,375761.2922,176082.2101,249783.9436,225924.1083,470817.0503,531212.3421,491254.3414,391457.1274,400649.7595,333681.5778,309538.7164,306211.6499,291325.9165,282170.8159,276265.6579,269223.7733
84.0213,0.4,32037.74222,,,1206005.475,1561178.632,1464923.575,1287579.904,1043793.851,1289415.414,845344.6219,1127208.335,1246921.372,1381471.133,863371.1516,853731.0921,980856.3716,1079067.927,915099.0958,1384237.261,1473506.756,1462767.708,1209445.094,1314005.222,1200895.316,772447.0166,874754.3696,917056.6564,1030140.033,888291.4657,910332.3525,904944.4166,496718.0669,568305.3233,1220956.775,1209416.549,1212105.216,1207923.461,185156.1743,747005.3446
121.9566,0.19,589524.583,254966.4785,662932.561,,397036.1376,842497.1622,909266.6215,810996.3293,291105.1421,1412796.214,1081259.481,1143423.157,1203398.728,1174843.981,791146.2576,1416329.249,1416669.683,1226476.1,453007.7031,640545.6406,1046987.572,599508.7687,566630.524,1272208.781,912591.0071,1374743.045,1460257.283,1015258.837,458898.9194,465122.6158,906925.3459,1418065.205,1257520.309,693155.7422,753588.1078,799431.7477,626439.4523,1472709.792,1259687.822
242.1759,0.38,,,,90936.88523,108817.1711,104819.2628,128102.5706,137518.9969,233326.4833,254288.2291,181959.6376,259861.6801,273001.2045,417104.5061,304896.274,211506.5385,164067.4028,281957.5164,205129.8872,221938.2493,124247.8492,185693.2779,484319.4253,232026.2203,295817.2008,192754.232,189442.1433,195969.7003,198178.7057,225210.7,277534.6864,456182.1616,385989.9652,254242.0121,257758.7637,233659.1352,228139.4489,230020.3539,249112.8223
128.0943,0.93,702626.0608,659949.1348,721095.1194,540725.2684,498875.5628,557563.5654,589380.3483,559217.192,503487.0921,384912.4043,470365.3251,386959.257,271034.9507,571493.71,545714.8429,436003.121,589288.7373,579949.9911,547413.0311,567799.5125,599335.2144,629236.8701,554406.739,549999.3204,588778.0234,627895.9435,627552.7151,597306.6481,620782.6649,424571.2872,632053.13,654478.9045,558007.5313,570129.3274,574002.8398,590964.8198,528636.1726,556273.3279,597509.9831
191.0614,2.16,,,,157239.0276,267566.4793,165914.5786,179843.4337,171276.3171,333837.9354,449327.9532,340174.8967,366119.7061,432079.9032,231874.6676,216441.6805,157573.062,122244.3923,220036.0167,209689.6405,204017.8074,168166.1616,221929.5897,470990.759,230518.9272,267140.5286,158653.5526,191896.4326,158319.7112,125190.9901,182425.1393,175654.7321,233688.9143,165645.3672,239631.8574,240200.1234,235887.6873,239430.5997,240913.3091,242931.7227
275.1374,1.22,,,,123259.7732,194474.8044,86426.9333,126721.222,116745.5084,190665.776,188385.8296,153872.9599,196818.0555,175467.4696,219650.7758,173676.4342,154967.0813,115501.2486,196601.1391,286631.7462,214193.8866,211013.9206,169007.4215,473273.5216,194531.9843,132644.6473,108299.3756,94578.66924,102171.1798,128459.7125,165928.9395,218560.3525,176496.359,256630.7053,165649.0848,166630.0933,179329.872,179455.1793,191305.2867,183222.3394
173.9941,0.77,,,,120390.8727,206756.5941,141443.6649,178324.7966,142203.9326,399256.7814,427843.4264,306732.5564,452480.1783,519367.6331,337375.6841,223777.5777,129164.2281,153014.2149,247424.9571,159710.3527,127908.7492,110951.3437,158322.6633,423678.567,190459.9163,134801.7957,86943.27977,86990.14409,93031.47391,72483.51978,76470.64715,102580.6658,180866.7361,101041.9348,187646.4941,183276.3011,202143.184,213950.2356,221172.8554,209367.9535
399.1282,3.22,,,,,,,,,354349.14,415078.3071,155657.0048,404584.9898,382292.4065,381261.2886,134319.1486,192430.097,104511.5494,237664.97,,,,,,,,163930.4053,283610.9348,138379.4193,113605.2388,143889.0637,188905.8017,372872.1788,192877.9207,159955.3722,160513.7929,151949.3808,151190.9502,154244.7541,153165.2537
181.183,3.12,57404.60425,57935.3853,53083.1684,224787.6026,320156.5568,145626.8204,140395.9216,198197.1414,266113.9377,93756.25985,157784.465,168031.5834,133276.8953,95495.84563,447993.2099,89060.06468,91990.49646,126102.9914,107152.4561,252225.6691,103029.3973,204696.1919,271308.5854,124379.1741,151185.5285,97800.61492,105938.6688,133584.3801,415403.1302,184860.2028,236275.7222,115036.0898,128380.0653,512161.7471,455782.315,184357.5374,126135.2405,92257.47512,89092.41789
247.1053,0.5,,,,,243293.0586,,188833.7949,146690.5596,,,,366582.4479,,336903.9829,345464.6049,287246.0246,,304971.6322,,,,184370.5993,,,,235664.0712,272324.4556,240502.926,381545.1446,415245.651,332436.7441,367578.8715,321361.08,282101.3197,280162.2267,274310.2403,276232.3708,272649.1101,262369.5283
576.1067,2.73,,,,,,,,,407109.7525,423919.2557,403858.3579,514678.5758,449462.4343,85418.45144,241968.3762,112888.3589,161177.5011,251171.8616,,,,,,,,331498.3495,454019.8347,399477.8905,241557.5657,286876.6447,344754.9973,334690.2817,299578.7344,178150.7543,182198.1528,233155.0208,226526.568,227459.9188,227939.1474
240.0989,4.21,,,,,,,,,,,,,,167203.0585,193971.1046,135952.6382,180105.1257,165398.6314,,,,,,,,,,,,,,,,,,,,,
148.016,2.48,417355.8459,445036.8992,481429.0026,375555.703,500767.8065,469435.1811,369823.3073,407084.7492,529790.5602,436189.63,466452.7504,442105.9571,501599.469,439563.5382,500223.9089,439547.3013,362585.1861,383852.2918,407588.0689,492635.8585,423774.1859,378757.0877,461484.172,510394.0744,624534.9297,442924.0042,410361.582,436197.2225,539667.847,472864.2911,465731.8524,418011.7728,490207.3938,471942.3368,462556.4141,450068.0885,519449.4054,511525.0757,476027.5056
184.9777,0.58,,,,308403.6476,300406.4711,345515.6004,406127.5012,304823.817,243110.6986,423808.4774,290721.3632,335201.1111,379620.1179,261678.1158,304631.0845,326821.2743,400891.1749,273887.4417,314452.6695,293612.9123,396035.0186,361090.3793,353953.1458,337554.4198,302000.8507,338936.4849,241296.791,270174.2205,277692.8119,,292639.7117,216088.7386,269549.4771,212493.5353,233223.7762,390316.5701,409035.5324,374578.3388,287143.0725
616.5268,4.85,,,,115541.8436,86628.00671,16224.51317,25037.56452,30202.26933,66504.07946,13150.53779,43854.86063,61024.31324,42491.2919,6899.039241,,,,,31108.46407,56536.45666,,18616.23251,37285.46774,,9461.089611,12555.11237,,,483217.231,99908.85803,50993.6783,8162.428562,9696.214228,96792.45122,94097.52411,37625.18981,18005.13673,,
294.1823,4.98,68016.26919,844295.1741,,308953.576,,,814997.5556,447272.6229,,330820.4923,198740.3091,916942.9271,,1109703.011,762384.6735,1102886.277,941045.3895,861624.0058,976371.1667,782362.182,920432.4526,,,,,857973.3825,827373.4466,903699.6994,826026.4005,,,,,,,,1100653.091,,
305.105,1.78,,,,,113371.4428,49939.48936,80065.23134,52910.89844,146844.5567,181679.5067,437430.5912,152711.043,194736.751,98657.26334,91673.62593,79074.8185,,75297.82868,67291.56757,55486.6351,,,,100951.295,179040.8451,78117.55924,156684.5248,116330.1724,,78937.85968,,99528.76784,,105311.0847,110323.3151,90821.60794,106567.5459,106447.6341,102713.3029
360.1315,3.91,,,,55518.1025,185898.2568,274635.4025,236762.5683,124658.0705,191813.9924,96372.65648,,400862.7397,159894.1128,132054.4892,59637.84232,108778.9793,49147.88752,116277.1243,153485.0765,138044.9297,125362.4501,140389.4528,137775.6429,172537.8604,170671.2848,129331.9231,130746.5672,171214.3173,233489.5334,148113.6603,339628.652,277808.5063,176752.6819,140157.9595,139143.6327,143552.1109,148661.6287,163855.6052,163942.9042
283.9542,4.04,307205.8062,305127.2827,271180.6172,563024.2145,541153.3633,468261.5311,395933.1583,531557.1858,540213.8031,338413.4317,528414.8514,524380.356,435457.4563,345198.7618,537016.9859,359184.3161,360361.1446,329410.9254,357544.0575,481793.422,400663.1824,509063.1118,538572.2026,352365.5885,451893.8531,354167.1404,338936.7195,335551.1382,536053.0381,509144.6411,522857.0773,365606.7027,317097.4326,501641.8247,538239.0872,520263.0931,348163.5175,373850.4889,350159.5207
325.1887,2.75,,,,,,,,,,,,,,,,,,,356843.9073,300236.5353,339436.6851,346561.7456,403377.865,367967.2367,421755.9645,,58826.46243,,,,,,45157.35155,,,,,,
361.0784,1.34,,,,30336.77157,82850.01809,53944.40817,56535.47244,63427.93164,57329.0729,153795.9242,124959.1381,153886.0095,140604.2033,221602.5004,157861.1824,86745.44931,72850.16103,120099.475,102442.5584,73611.02737,82700.74186,27885.14603,18635.57171,149689.5815,180075.5697,126395.1901,195979.1002,120473.3964,120183.6396,273006.0992,173452.6916,433423.238,209838.3339,114728.619,121916.1187,124356.3948,135631.2146,139887.8452,139087.9571
198.1249,4.6,47580.51108,35269.94429,110998.7764,194289.2167,258187.446,235780.2982,226938.88,179425.6952,493762.884,332566.9556,292880.5967,618914.4543,339862.0887,255995.4941,274714.6153,302774.2454,157028.8313,219511.811,,139985.743,56119.90342,117401.0168,204518.713,69044.27528,66435.09399,,75456.77278,,749288.235,443995.4143,132827.1613,51946.39059,85278.01284,351308.8221,159745.5232,172641.8018,183183.9261,132878.6979,129149.113
309.1687,1.43,,,,91965.90039,147417.9943,91837.19405,126512.8947,122786.9592,400208.5021,454692.6065,394537.1718,518493.8653,456083.1168,416584.2567,302144.4702,234835.0143,180153.8892,349054.7061,142924.7123,122122.3879,105119.3143,111718.5812,251005.6111,228376.8576,265851.1269,234837.3635,265711.6597,266248.8169,226091.0863,256952.9623,326617.0629,421268.1304,248344.6162,258020.6986,264469.6916,255375.9008,268014.8474,275062.7116,271050.4929
562.158,1.36,,,,231141.2218,250196.4679,214225.3359,247064.9884,264020.9396,295411.0759,258637.4326,220448.7809,272551.3587,280770.503,296521.2415,247705.9733,173850.658,222920.6886,268816.9256,204963.5878,172006.8457,144042.6798,315861.3545,373631.7719,155125.3185,114397.5606,99378.20516,78555.50134,75027.91393,65201.50433,103059.3436,129863.749,158733.4322,114166.9972,242377.146,246334.8018,240768.77,243308.4982,236819.613,232884.5008
553.1148,0.54,,,,56582.74671,130810.8689,22839.6516,42094.85554,33735.83346,253950.0239,275316.5382,138148.8345,337916.3995,450295.9,363529.1647,229617.4722,328729.4408,201862.3793,290734.3352,123466.7992,120940.4444,70893.80795,293742.8687,160126.7855,337338.1357,214614.6196,206174.834,205168.6733,97502.42299,116142.8132,200037.4611,202974.7946,245159.7574,164344.3309,197289.2921,191382.4039,211482.9695,224116.1819,221448.6676,200818.785
143.0735,2.07,58768.25906,125132.2328,175672.8598,214864.8382,268524.32,268011.5165,255525.5967,249086.5082,298775.7486,421638.0115,375947.1965,421480.9985,432237.5881,345393.6584,283965.5492,261066.0385,224183.1401,338191.2811,313923.3331,237127.831,277836.451,183517.6115,341430.522,394248.5431,364136.1046,240223.2023,277316.4761,282063.4387,240248.1241,386034.4934,329108.7587,421710.2827,345991.5588,262563.7745,284604.9732,302193.839,341645.5099,371399.8968,338241.4388
444.1306,2,,,,23313.46373,76136.38397,109745.9058,182578.5111,44078.22738,100036.0703,46988.87836,,390186.2887,97808.04584,61808.3653,23855.12025,36497.71457,12900.28158,41427.28491,51876.20789,31078.22763,28009.44062,26748.10166,62572.85539,103044.1674,92477.99567,61343.98199,68227.76052,88998.48589,165569.4477,52548.87486,196388.4014,165698.7313,100770.7345,88663.54957,84883.78923,85636.74961,86995.96248,92117.7814,92729.02625
441.1153,0.52,,,,177241.0431,309613.0449,178034.6217,183663.6487,163695.3662,308306.1069,407770.1198,322289.7848,354832.1646,323441.4399,184036.4768,183177.1764,154671.0842,151459.7344,212939.4672,339768.3642,286279.2151,297329.1439,301007.3348,407250.3792,332769.9346,285906.3944,198923.7711,225209.661,189530.662,160336.2482,301920.5765,209843.4698,315511.4699,188330.3063,234094.0396,238095.8832,270464.5469,299558.3681,306205.794,278580.1717
86.0363,1.01,,10535.56806,,343809.5042,402429.6362,376031.4465,447489.9873,390880.7195,479014.5736,,,,,204483.8045,117408.3744,205267.9487,45245.38581,254781.4963,514124.5945,375646.4953,457081.4206,375252.1465,,,467260.9449,564546.5154,598671.6567,610325.6336,111659.9679,97301.29497,132195.5951,175509.0477,124031.1886,337640.1183,327415.1344,,368036.1851,386011.2757,406022.0916
357.2506,4.53,4922.913901,6321.748643,4934.611916,99059.07453,135677.0022,127121.9988,26910.14569,125536.6874,104036.9662,134043.9045,105044.8097,108221.6069,133988.8077,156839.0437,112967.598,132252.8845,70705.80853,52005.82964,126429.897,114917.8577,146893.3642,138924.293,139450.5575,403618.8935,212665.5824,152586.1787,211417.4999,132817.5251,138888.9563,138126.6204,203150.3769,166198.4838,134119.543,149459.7875,33807.81358,146827.8043,29630.74546,30377.72145,151409.6274
133.0369,0.39,22085.1757,31937.8262,29987.06171,743988.2311,620063.2712,606336.0085,617502.6887,418560.1131,945261.87,384310.5264,876324.4213,407442.4016,261315.7667,661666.2485,436566.0462,336432.8951,477526.7719,460675.1368,1054246.475,429933.639,828001.345,346484.7504,585636.9183,725721.5556,811538.2001,664118.6874,698149.1098,528786.9305,634317.7429,695787.4223,709202.5508,770423.1914,488104.6329,776397.188,776828.2568,397030.7344,758199.8519,751451.2797,320955.5172
177.0283,3.09,464692.9741,467741.4414,488404.1442,437397.675,439403.1546,448649.4057,440105.8791,443838.338,423022.1549,453211.5916,440523.6815,429958.7311,431375.7851,438365.3856,416863.4989,457784.8358,444772.0699,440142.1913,460911.2176,447015.7148,444253.7199,446305.2575,440456.584,480973.369,430978.866,464273.5458,445936.0907,440741.3442,454117.448,463204.0527,434505.9714,442079.1799,449063.5993,418032.4783,425616.4746,455568.7199,478369.6576,477717.1763,463508.1982
96.0213,0.66,,,,664562.9246,540888.1628,,510373.0294,,540910.4714,246471.2812,431306.9036,490232.1712,531866.1724,493010.409,302479.4416,516390.0089,621662.0658,487596.5127,566474.1001,500056.4449,623398.3128,440713.8309,733457.1244,484194.4285,397144.5039,554418.4706,556766.4035,519127.8156,247229.5552,331676.9954,410259.8894,,392503.7135,374874.1668,442011.9388,484367.8391,451933.6408,449568.3239,513614.926
285.9507,4.04,300832.2405,315568.9008,289401.0594,517995.9417,531096.1511,432545.9842,360446.9808,524270.7231,511781.9036,320234.7359,473201.6221,446111.1044,428008.932,338223.1114,496845.6829,365722.5058,361887.7873,314454.0291,359513.9037,509763.6479,349345.2801,513657.4455,505096.7654,348512.5833,454561.0332,358823.8862,333991.6988,343011.2841,499374.2087,494076.6787,479137.7073,365192.4655,327496.1299,489171.9657,514239.4042,476108.2015,320123.8583,362182.3109,356446.3553
148.0518,1.59,,,,236728.4851,329422.2769,259741.6125,261173.8604,268743.2284,368608.3681,430549.7399,368828.374,410566.666,438618.0697,247185.4607,273490.6418,195709.5829,178259.2764,254582.1678,294817.9895,257698.6436,276840.801,250373.4098,349105.2553,353662.4178,330515.6075,227752.8864,250135.952,242902.4344,235263.5738,331011.639,317450.3309,352354.8096,298121.766,290370.9545,294502.1121,302881.22,310624.8083,311038.5037,302438.5825
412.1284,1.93,,,,,,,,,,,,,,396394.0972,20372.73537,15342.01608,90037.12357,38810.65291,,,,,,,,,,,13606.66124,45119.22463,37698.02954,58202.07438,33797.56275,27538.33444,27987.54868,27842.81617,28390.68668,28337.56832,27739.52106
419.1895,0.92,,,,185138.527,364236.3781,243972.6134,279682.239,233779.1587,351757.786,402708.6544,292570.3251,406697.0184,355263.0678,328106.7943,263638.0913,252609.8413,213916.0491,348072.4685,316259.6958,230731.2818,294794.8235,217601.8088,258405.528,253943.723,300638.2425,202709.5878,232892.8814,205623.9826,144080.4666,224416.5563,207302.3095,347357.1265,198901.8832,252208.5903,252838.4123,255059.551,257343.2063,267770.1564,293041.9584
170.0945,3.81,90273.36559,122758.4226,128235.6444,237261.7125,300488.4657,210014.1708,199757.5607,210208.7879,336056.5156,131062.9391,174487.7398,180872.2352,186949.3055,189193.742,252363.715,134635.6879,130952.9841,136411.5037,156370.1309,209146.9698,189155.2649,227611.2344,301085.9475,229065.1537,193891.6741,162102.1376,142948.8085,207811.8118,349335.3495,199624.2327,409281.9087,229492.6624,272780.7074,275616.363,264437.9646,202715.5725,174273.0094,158224.6312,162685.7919
241.0691,2.59,,,,,,,,,72096.12913,25490.19946,17346.68068,41590.8057,24964.42344,,58243.33045,,78518.37438,86855.38838,,,,,,,,32080.40212,26628.33484,,65842.08587,111341.1336,94139.05513,148780.1538,65382.05416,,,,,,
279.1321,0.65,,,,113822.6009,101765.0999,55233.37313,75852.88951,12364.95427,176130.1811,137729.4471,128938.2252,131640.4598,130436.8076,131089.7229,79661.26487,144436.6771,150987.2005,165109.8688,253175.162,209541.5937,204009.896,160874.6561,429520.0242,128887.3567,87253.16985,112737.8817,85522.75928,76106.83782,83204.35244,149864.3692,163833.7866,113119.2019,237234.0952,124736.6336,124569.7752,128582.4464,134136.6459,134727.542,141164.1016
