Mass,RT,Blank01,Blank02,Blank03,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,QC01,QC02,QC03,QC04,QC05,QC06
187.0636,2.07,,,114078.0217,16186690.79,22667750.91,17112079.59,18853784.61,19283083.34,25315831.07,29490803.68,27914761.26,30039376.9,31149163.57,20954939.3,23023711.99,19432153.79,15049539,24996998.12,22113439.87,18208908.88,21731746.86,12942437.04,25576314.23,27273358.69,26565000.46,16369153.02,21530984.3,20023069.76,19766111.56,27915047.29,25306455.53,29379550.93,26658479.9,22374881.91,22247564.91,23223709.86,24024121.96,24474183.74,24019178.53
131.0951,1.04,63511.42011,331957.677,167530.7301,21160810.31,27700942.38,23191879.81,23791179.09,21826943.29,28174301.61,31776235.28,28499331.18,30623504.23,,22602499.61,22686823.8,17582265.21,18868192.28,24025664.71,26627045.63,24723071.61,26554234.28,23447022.41,30671474.82,29334622.14,27712677.77,21106869.39,19671924.8,7519930.906,19290742.31,24594398.43,25142259.67,27323172.72,25297434.87,24425113.05,24720945.62,25314497.65,26894633.73,26660243.6,26297172.9
165.0792,1.59,33301.99349,117839.4709,102301.6377,19245961.22,24107308.05,20681551.14,21128213.9,20918132.26,25539598.72,28840203.41,25741120.45,27838331.98,28679160.82,20540610.23,21050247.93,17315720.39,15753497.61,21448371.22,22775155.69,20401206.27,22509229.79,20082045.94,25428631.11,25950200.55,24496509.38,19512136.92,20532052.42,19587999.19,18904248.37,24540226.22,23384316.61,25394008.73,23388617.98,22297331.97,22376832.26,23199815.44,23549045.77,23865416.06,23390141.26
231.1473,1.7,41206.92118,38695.48329,30544.46957,13042324.2,18432529.75,9871580.461,15382354.05,14015830.32,12957271.96,23930673.63,22076788.73,23194117.85,24106178.69,22345895.25,18861283.37,8804159.559,14839039.96,12335174.98,14478579.71,9787823.943,12567456.87,12414672.9,5718187.284,6982974.061,8677515.831,9236991.901,11757408.15,13396275.98,24217399.63,20815712.98,30758025.95,24041359.29,28498849.8,17885251.63,17756336.39,17834764.64,18150749.64,18200455.27,17646643.15
307.0845,0.65,,,,4598298.745,15437842.55,15705372.94,12193769.26,2597761.313,12497295.84,13965636.79,7564522.068,15996266.63,18314110.2,15627303.87,7884647.425,14359428.72,12310460.46,14699681.28,9074880.361,10465768.7,4659428.393,26968510.57,7317140.205,7958966.149,12323906.51,9125707.718,6223996.411,10336731.52,8155909.301,1937912.61,9151864.277,5182550.029,9106528.931,10700361.11,10828551.33,10661087.8,10864824.67,11154665.3,11800838.38
136.0389,1.35,32219.96607,46286.80838,39291.85034,17647823.54,20877310.42,17826887.16,19394675.93,20599747.36,24891315.37,22646731.52,20167556.85,26406138.56,26816299.17,26337887.13,19297438.95,15339593.65,17293759.61,21485876.9,17098687.39,14291292.36,13224848.16,19904166.64,26720158.04,15426288.35,12339638.31,11067058.94,9990063.386,9733822.709,8554350.657,12176194.38,13524917.55,17918574.81,12358221.14,18990908.44,19107100.96,19774749.61,20353791.41,20124719.36,20526115.09
222.0454,1.8,,,,,,,,,2045144.153,509293.0872,354861.5172,882269.898,462059.4391,25013355.32,2636994.788,6135758.802,3906162.426,3777849.886,,,,,,,,791945.8666,560841.9305,836813.7336,2045182.367,4242905.592,2479464.114,6767371.859,2224332.431,3388428.195,3408698.194,3513587.874,3516068.32,3542222.935,3519572.168
131.07,0.43,248303.1267,167142.6462,236090.0103,18252440.1,25055706.91,20970222.22,21753319.89,18557944.87,18651997.94,20697226.88,19632550.14,22406106.92,20901256.35,17132854.37,17354385.25,13667927.24,13832215.29,14211614.86,21801099.87,20261606.51,20997636.66,18040204.65,20071016.18,15900912.19,19041155.25,16339774.45,17956189.42,16307820.01,16822777.91,18403024.39,15360177.57,17763120.42,11657632.75,18923309.15,18845198.92,18630491.15,18391342.76,18283798.78,18246938.94
117.0794,0.53,343909.8475,323248.5745,,12545120.11,16936243.85,14658597.17,13252155.38,12812743.66,17587126.43,19208291.63,17087344.31,18026100.24,22360858.12,12836151.34,14370434.58,10093663.09,10932349.79,13851538.84,14754752.82,14593000.36,14836816.52,14002603.32,18021446.71,18344955.96,15930041.84,12540113.21,12487029.58,11877509.53,11577689.51,18019589.01,14625107.67,16648680.52,15829792.22,15830225.77,15001945.34,16985044.14,15478233.18,15542335.37,15551642.99
164.047,0.97,36948.65961,74633.15941,125082.1682,14365533.78,18720861.37,15772128.53,12481968.74,12924070.07,17154269.07,20395131.68,20213425.84,21078680.71,21594112.96,9474744.56,11191098.71,8952770.841,9439435.011,12051718.38,17311921.65,15214410.34,17663801.16,12547807.87,19484278.63,18851300.13,16184188.23,8785063.026,12420922.11,8193881.175,8091218.396,13910776.76,10593845.32,14949525.46,14261447.37,14147912.74,14159617.84,14501276.83,14803356.18,15184646.45,15538983.49
102.0469,1.59,,69172.4657,,12394486.65,16890513.66,13538498.22,14034177.95,13944979.96,18065688.54,21205057.87,18197946.75,19947413.55,20793319.9,13587240.57,14011255.63,10924988.82,9701157.209,14221532.69,15469822.9,13508700.15,15254813.36,13198976.01,18093686.9,18166637.97,16920011,12612326.08,13519924.05,12762442.61,12194222.02,16999584.76,16214965.25,17988087.88,16009684.11,15105205.72,15248480.95,15838776.85,16213746.47,16397233.8,16205183.64
186.1195,4.02,19881222.79,20651624.59,20801987.33,20154928.37,20257014.8,20347006.85,20216132.68,20261670.21,19781386.12,19801856.27,19974278.84,20136155.24,19836284.57,19785210.25,19541227.26,20024105.86,20080631.7,19910167.58,20476793.44,20253088.36,20382690.31,20184176.95,20094458.08,21008908.49,19661846.64,20265670.75,20414633.1,20053732.45,20602628.71,20318897.9,19829391.1,19928731.77,19704652.91,20153228.48,20006152.18,20454848.91,20654783.6,20633415.3,20242401.44
442.2254,4.76,,,,,,,,,,,,,,,,,,31090.72498,,,,,,,,44717.91935,20722937.52,,98384.6113,,45254.80813,,,757367.5288,742746.242,720015.25,692988.4479,634102.5981,631157.1803
292.1254,3.26,,,,,,,,,10609273.67,9050804.835,2655919.958,13325739.12,16726529.74,17873691.62,8742468.203,7463517.41,6841400.05,7491166.503,,,,,,,,4078492.102,5053935.553,3377324.392,4067656.545,5095060.409,7288649.071,9629347.708,5565255.083,5171112.524,5153343.974,5003203.182,5030215.207,4933955.836,4994527.442
101.0055,0.51,,1050618.87,1004665.671,55621.01347,,75864.69813,408241.9227,,,,,,,217681.6499,,,19169.21798,,,,,,48670.51434,,,,,,46879.77181,,159015.1179,,,,,,,,268544.8307
131.0949,0.98,40571.28713,134429.7609,105683.7765,12272806.9,16008339.67,12961462.76,12732574.1,12222988.68,,15683133.19,15408893.9,15136666.01,16895104.97,12437630.26,11136967.32,1016964.372,9114035.884,12369801.85,14381193.46,12969230.05,14839349.18,14064814.54,18130223.35,,13458857.13,10012991.63,9639021.638,9447257.715,9602295.892,12051563.57,12940185.47,14943911.57,12538016.12,12408117.12,12176513.59,13349090.96,1264665.398,13580002.88,13672373.54
219.111,1.86,,,,5378654.998,10988144.55,6764999.851,7145566.556,6614423.229,13765209.22,15241818.86,11387616.9,15840965.98,13420423.95,8938279.801,9051435.48,6822699.307,5362237.702,8719703.369,15713982.58,12906772.68,13409908.55,14194718.49,16200507.41,11742648.52,14721181.5,12414216.65,16978245.07,14146873.13,10731117.85,12419568.04,11019803.63,14899707.77,11327581.6,12183723.58,12210534.48,12029393.11,12140383.53,12103827.17,11849456.32
