mass_Rt,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,QC01,QC02,QC03,QC04,QC05,QC06
130.042_1.59,530456.1458,770664.1396,576518.0302,608230.8149,589133.1041,860902.1073,1042997.26,863576.8881,1020682.183,1043463.332,592758.2365,606956.5443,474610.8381,404226.7789,642550.1095,692491.9928,546484.5904,682853.8486,585894.8091,821188.7229,861150.7833,786263.6404,525510.3943,590605.3963,537721.0638,517590.2982,779970.3221,716579.6312,846200.8049,750262.1605,658705.7755,689143.5518,709867.9509,744559.9826,752411.9607,745420.7616
249.0863_1.67,332953.0915,729217.4266,357352.8142,460252.1587,486377.4985,827863.2705,982499.6976,751408.7947,984572.671,1063639.56,533775.323,599814.5869,328550.5583,338971.467,505259.3883,393020.4343,323529.2639,267364.9073,153436.9298,485169.4398,745639.6485,504691.6275,303203.4028,419729.0333,351594.5043,517579.6269,522328.9194,835995.3661,797340.1248,654581.8212,530318.1283,549068.6114,565815.9442,580911.3117,611874.9228,590538.769
244.0694_1.01,460206.4403,680583.344,552629.4223,594814.4536,743032.0772,883209.9633,760549.9412,689175.5867,1197592.36,1078342.662,978602.1977,490146.0371,334080.4888,333634.371,534361.6916,410989.4136,367939.1128,270254.875,266408.0437,608240.9846,383642.007,345932.0209,301502.8341,358953.3815,376536.6401,324592.5043,387750.1525,384472.0289,599750.6959,332909.802,518903.8263,506151.5577,537986.0628,553696.1532,566187.1792,589156.7998
309.1936_3.76,,,,,,,,9547.492339,13357.20168,,30261.11744,,,,,714425.9381,680782.1454,827479.416,823538.9195,905664.0484,841039.4836,1146222.23,523432.9235,773714.8665,725657.456,669712.6976,866771.5256,863945.0414,1185827.793,745359.1529,375027.7941,379678.3355,375432.2874,379951.6712,383948.9729,390379.0531
444.1308_2.35,52374.14765,552381.6125,238645.4697,287608.0106,146414.9067,436782.514,225418.7737,143282.3697,889072.2249,375995.485,227134.7945,123017.1618,196874.4332,83071.85007,193464.8661,311123.4679,295092.6325,267535.3341,31263.62339,206252.362,379201.9725,241921.7267,242141.9247,230973.9765,284520.7802,327040.4397,256818.3974,435763.4503,583666.5931,722507.3746,279941.2591,293054.7099,261843.5266,282997.3733,333089.5273,315694.1405
261.1211_0.83,256244.8026,408005.8053,258558.4183,304941.9974,335824.0417,571935.4009,767226.0713,524597.6244,979040.8252,589757.131,738116.5842,581983.0858,474353.4093,382556.5057,569209.1064,353991.1146,202469.9254,257694.2934,339890.1709,387877.1854,259637.3595,365220.9984,311881.3936,417998.7583,315164.1791,600306.9303,1008633.403,623092.8018,903592.9675,616447.186,503168.3553,499839.0244,491980.9548,481962.4996,498115.775,506702.9364
204.0342_1.8,1121.553339,2991.57403,2198.008934,2007.600084,2762.234842,65832.33739,20220.26466,14503.3163,32275.66324,18406.0281,1046561.431,78344.99055,179704.3946,118104.6027,110750.6396,2176.407406,1537.249106,3068.145018,6755.732302,1916.239147,2895.923822,2296.770729,27397.18368,21229.05139,29222.61277,61513.83334,126543.1297,77081.62221,201410.8976,70453.78009,96503.4673,85706.0221,103320.9691,100319.8969,100572.8813,107882.505
152.0579_1.26,755328.2122,1230878.959,653483.1476,656269.1086,978146.1611,530366.0394,515712.6126,411137.5239,672249.9967,522277.4505,,315060.0833,294686.65,,,792723.1843,585062.1164,928155.4535,1059298.877,912230.5584,458550.458,314096.6919,272872.0867,177480.0533,,,,,,,509730.5144,509690.1268,471875.2318,448193.7049,460550.9022,462482.9062
200.9268_0.36,742718.885,1099675.804,897641.9754,891076.6435,679697.7503,975831.8006,1025291.715,989381.9966,999575.4957,1003010.39,705102.1782,888726.1475,766947.4603,816172.2335,734489.4941,875988.1335,947361.6574,895795.3463,587205.9375,791359.7192,600385.0928,881785.2641,777627.6164,844951.8878,871373.055,689639.5111,679438.426,778835.9275,743423.7431,198763.5284,866363.1935,857287.746,795276.6277,770738.4028,744229.13,778322.6529
303.2041_3.13,234896.3621,459352.3258,241336.025,278413.1218,265081.2236,247134.3039,281906.8888,263315.6538,237321.5863,390164.3559,298325.6002,172269.8562,222289.4345,86814.65993,290610.3899,348410.1401,256623.7642,263275.4267,281900.2546,334452.4695,947879.5229,610276.0114,245215.0227,284892.8984,404720.5617,354141.8445,239845.1928,341655.129,277605.3869,261566.2887,293076.9472,296231.6256,287829.2524,289030.9591,282911.6245,295530.7196
387.1028_1.21,217055.39,297221.4241,161566.4348,242539.0114,234152.3758,466283.8742,360162.083,354222.033,347879.1291,272697.3442,749974.1074,488986.2284,661203.7094,453629.9309,594906.3032,556988.0254,485260.9045,493652.9938,170232.6418,570565.6553,348989.1892,272498.2131,368390.0261,305652.0736,377610.1161,479430.9122,836372.1811,687425.2972,579110.2993,769379.3433,427279.4133,422807.5204,450653.3715,446193.3708,471327.3364,470797.7372
224.0418_1.65,,,,,,35410.35907,159168.1692,106679.6322,13433.35171,,988959.3169,45772.43972,127873.9317,78076.84165,65824.76127,,,,,,,,15573.76488,,,47583.40929,84519.9781,57322.78132,132833.6685,48787.1495,65458.7157,62205.53016,65152.01926,66762.6039,69143.45635,63343.596
246.0356_0.44,442536.2508,383158.6644,600130.8687,576208.732,319251.494,487104.3932,254411.3011,158939.5526,566412.0691,367485.5898,427499.6871,582459.3702,659969.9659,565626.0333,498368.8492,714796.6924,628164.4488,707148.23,1007745.166,735860.2787,728563.2816,669275.0431,515479.2289,508402.6489,606579.5714,851696.167,711746.2642,766215.0012,634328.8439,1040108.033,571219.8581,567942.0657,571865.7819,586558.3356,587955.5827,599080.8015
293.0935_1.3,874931.079,946362.6347,921391.0408,916397.4995,831277.5482,893720.0047,895827.9634,958096.8563,924065.776,926224.5747,853146.1398,883467.172,816033.1539,760596.2986,864864.79,859174.9113,915631.9111,840911.7097,592817.2664,807405.0615,941506.7712,946690.239,842505.5261,915639.4904,925989.623,929003.5959,960578.7246,967578.2428,916925.7564,921351.5259,941597.2744,949819.605,924221.5416,908499.9823,898377.5024,909296.7157
161.0146_0.65,234165.7046,689612.6422,705154.3458,551643.1866,142268.1324,548945.5403,646128.9394,347387.5631,687036.2398,843697.2767,705447.0398,358104.4711,638443.4443,554402.4548,668422.9946,425651.357,471956.994,232773.4199,1398414.599,344146.877,367312.2397,548114.4884,417921.9356,296664.2955,476220.3739,359889.1372,106842.146,413833.5054,241213.0899,417382.8457,465356.4985,476795.3854,478648.3838,508254.1424,523100.9755,559029.6201
399.128_2.97,,,,,,662085.6734,894603.4621,269468.0523,798425.8241,706395.6484,,206279.1906,,117025.9238,382917.0139,,,,,,,,312583.5331,480199.5561,252793.1052,250028.185,256831.8595,325819.1465,599680.8726,253018.6121,341090.1092,342107.5927,320800.1302,332762.7048,326584.4874,326203.4263
135.0314_1.26,992723.287,1571095.659,813817.2317,853355.4033,1267057.905,690345.5433,668332.9733,518885.8277,870848.0304,692159.8331,,395850.5803,407373.9004,,466619.6768,1013047.121,802483.332,1234492.098,1400513.806,1178172.218,596807.3663,400121.1465,336295.6874,224229.0135,353881.5499,,,,,,652301.8927,667981.578,611046.6739,581105.4198,590187.4204,590097.3719
541.1664_2.98,,,,,,131015.5848,68836.29558,95424.45946,110605.4093,62542.98066,979655.7608,123595.9381,99933.02884,285579.2633,224273.0921,,,,,,,,76141.15056,50994.8233,109648.0117,136965.4401,231545.9529,249013.8683,329355.7839,187173.9024,112574.9523,120587.8254,117536.1952,131890.8714,141734.8789,136033.5665
278.1844_0.41,560240.1575,818639.034,783646.6877,573682.8595,639759.5313,657939.3948,613319.2974,609485.4055,583217.996,468319.8714,514627.1225,729432.3818,843992.4113,921346.3376,747710.4723,360030.7724,410137.4232,632838.4085,411085.6431,302529.5184,324628.9814,486372.216,809127.4679,761134.5554,744164.7622,910542.9682,818674.679,691598.248,720497.5788,593230.1216,617387.0955,625554.1156,636897.7823,651938.6442,658022.6273,681084.987
133.0371_0.39,739241.1122,591517.2452,589321.9959,598033.4467,440649.1791,921001.152,526954.6614,844390.9953,502278.2914,459470.5371,630075.8532,421768.1036,417986.7532,580919.3715,786454.8746,1013662.326,560207.7976,805055.7653,477251.3381,571160.4589,697241.7858,777049.4226,636080.9185,672235.7385,512618.6627,604520.7385,667115.7913,712491.4271,737851.7914,492525.5348,770859.8524,756403.1336,396610.5648,736343.5158,725912.8651,421545.1939
191.0577_1.45,96299.88821,155696.36,80696.85794,113575.342,127363.2321,147838.0541,169795.564,129488.3267,177971.2693,946232.973,401201.9822,298873.7647,328951.88,204737.4681,422000.2281,158059.6894,83688.14693,99423.7923,109407.1564,134581.9413,116227.6832,152808.1819,96618.88115,104595.9572,137416.0864,298368.3632,363729.8999,298863.4574,760141.3484,598683.837,250540.128,248832.2538,260274.9438,264577.6865,271378.1297,260735.4967
578.1012_1.09,483122.4554,722961.8265,547403.9223,611945.1772,590825.7442,815631.5053,893886.4291,812068.4568,908232.9986,805360.0929,935783.4546,788724.1859,850288.9231,758750.9203,882894.9517,741071.9801,614267.0045,715402.9473,376265.4621,685872.1633,741562.107,797500.6642,751616.453,812531.8619,756421.2237,712575.4824,849871.7798,801320.3213,979093.0127,769888.7326,713891.1887,724483.46,751325.2999,780817.8954,780839.227,808466.0815
551.1716_1.36,199271.132,348170.4678,262533.3474,266425.6803,301112.6504,528389.0058,367363.3566,376264.6381,710991.2653,809317.6178,637821.5698,252384.6232,155535.6508,176559.8682,345515.7606,185358.3191,136956.3679,110207.1373,92291.60512,518193.7705,223086.6006,189195.9738,124287.4536,134675.9021,163296.147,134711.5546,231412.3719,235050.2986,366722.6445,171672.1792,296429.3325,299899.4024,307307.5521,306179.285,321058.9953,312202.4715
943.1647_4.9,38798.63105,31825.57591,,25641.24173,7279.854044,40796.9121,195780.8096,,13407.10273,12182.20479,822932.1298,33299.23655,54085.6058,40343.17917,17362.76094,83391.75298,402364.087,184637.5204,456133.9493,150878.6353,36333.36226,64202.22222,547750.492,183063.6695,86818.62133,123070.0799,568950.7874,1009255.96,300334.0041,260529.8375,62844.22242,67507.14183,78167.47842,85330.92896,83225.1582,79268.99843
275.1731_1.91,281129.3847,594777.0493,341282.1366,418635.9067,373570.9449,652539.7368,666314.4044,477753.3282,549187.327,592090.8524,724375.0389,462862.4979,514431.464,324095.6595,708517.502,386049.3786,315392.1817,358463.0034,376284.1512,448325.9224,618801.935,698822.4974,481180.0271,552349.953,581212.259,685323.9985,517674.5523,683965.3376,866177.9714,630061.1888,539558.8139,528146.1535,542117.0753,537921.1786,543572.8643,520349.5259
337.0402_1.09,401457.3978,580919.1857,440954.507,507637.6145,474342.5249,628945.7944,765104.7275,659223.2858,706339.121,675593.2145,781113.0146,621292.31,735821.4574,642040.5866,739130.0791,586953.3545,490379.0901,582295.4361,308990.0177,534809.9755,615667.9894,633440.5339,621466.9878,676573.5609,610059.2701,553859.849,690604.4969,638145.6859,832398.0766,665497.686,561552.9467,567878.6907,615893.3699,654686.3999,668610.7472,692211.1924
941.1665_4.9,38883.76046,30573.99885,,25012.88285,7966.693568,38765.85816,187347.5785,8274.82306,14064.68866,11784.05133,802737.4407,33334.05322,53845.98152,39819.5597,17999.94926,83444.01052,388250.2529,182682.0541,442946.8441,146735.8324,34926.53851,62540.61869,525621.1282,179196.2571,84090.25564,119272.059,552606.1041,990435.8395,294153.9096,247343.508,64130.04799,64060.82896,78557.80675,80849.76969,81605.35981,80821.02833
444.1308_2.3,53744.96974,478015.3807,209628.4446,278897.9705,124309.7531,400706.3422,196266.1426,78766.94578,803645.0476,335482.9866,185931.01,101175.2362,157855.6272,68955.4374,184594.2009,287273.7863,285611.8136,247363.9636,159767.3048,181770.884,318967.9605,240086.4671,213424.0387,223560.8197,275545.3622,332624.9796,217176.0526,397435.9543,511964.1007,722453.5643,246143.1342,238215.1488,258858.4776,277026.5311,272981.0157,281044.8467
162.0239_2.73,,,,,,792374.4991,823345.2375,741734.0726,912367.7703,820267.218,675449.9939,713808.8632,593169.689,636582.4379,724029.3603,,,,,,,,756578.2009,865389.3174,795016.1602,703738.2776,740515.3499,765179.8982,904059.1209,763868.3121,630848.3149,639975.0425,642239.9564,647759.0322,674483.3056,690108.046
329.22_3.69,294976.6206,637926.78,374127.9899,410732.3618,433450.5015,399526.5776,424234.0775,360141.374,475223.5112,495589.1505,142102.4234,104131.1668,76903.69902,62863.66157,132433.2299,674343.8461,572447.3449,657459.7651,580884.155,800872.9997,647595.2832,503271.7666,193170.8328,291749.3612,266102.6094,243810.8581,236836.3625,247398.0865,340311.3675,209842.0855,386963.6832,374339.2592,355779.4322,359575.1508,363894.7972,362461.3776
271.053_3.04,,,,,,509077.1075,472786.4956,617819.3767,844852.814,555575.4681,77739.10516,270177.3453,114098.6326,119776.4833,215650.2434,,,,,,,,456437.6855,807014.5113,619035.5339,354895.6315,333066.6635,396051.0266,473830.7692,358441.2228,266481.8894,273589.7958,267026.8253,278764.324,261014.476,274770.0518
102.0308_0.4,,868407.5784,813521.1197,706133.628,588778.5429,933107.0489,924027.6071,915067.721,,963028.0916,,680530.7125,659010.6707,717912.2481,682231.6787,774741.2051,872617.4679,875687.2236,,,,858204.4509,705764.9493,,686947.8405,684973.382,794721.4557,720645.0388,714595.1904,512897.9412,759459.6565,800163.1051,754403.1541,732700.4625,733696.7581,753216.9499
118.0282_2.19,141199.8791,348421.4836,147746.9016,274626.3613,211844.1169,417719.489,364695.2078,361689.7059,548258.5481,,,211215.2151,279361.7228,219733.0555,338468.824,363605.2136,231738.3118,248656.7564,203185.01,,360268.9272,308373.2441,291416.583,346540.2956,349415.6359,463637.0365,481033.2276,594217.2412,762005.8946,501877.9429,319231.1869,320116.7793,337069.6929,363926.0176,470061.8469,357523.7604
198.9922_1.01,473041.1253,419373.3825,531972.8555,617835.6868,471491.7838,461933.5163,638161.3177,454516.4101,473125.6954,549341.5014,309097.5343,152143.3431,372434.2297,99238.06343,398608.9596,516589.3804,467318.0748,661753.8942,500910.7474,505549.1441,646035.3049,565846.235,835358.2209,875034.1019,806817.6706,136890.4531,164417.6673,172753.0715,264971.6228,207496.1656,318638.1351,326334.7174,459384.1501,509621.8825,595194.8455,568570.1945
431.1151_1.88,,,,,,,,,,,756238.1396,37349.37925,36857.96037,92811.69329,80604.74355,,,,,,,,11953.90579,,23561.16182,69784.04876,197280.2172,103911.3546,226265.1906,109722.8174,65041.59127,63256.39707,64222.99467,70405.66827,70926.14707,68256.58323
262.0087_0.44,446459.1944,527903.0936,739408.2143,643835.4497,353205.5169,590838.0514,312932.505,195721.2434,688392.2489,416706.8382,402996.2321,649982.8773,679103.6121,593070.1212,493285.8161,757826.6931,743689.0136,775920.1131,878957.9245,808777.6372,567972.4231,727638.9572,531624.3649,528915.3877,618156.3432,745132.9867,622991.5925,799377.8143,584795.3309,413654.9922,610194.4208,607821.3719,598506.3661,577087.3729,567227.9712,579514.1659
145.0529_2.07,389880.0649,556751.203,422828.7417,475614.241,467125.733,635741.4694,812074.5177,684965.2871,767787.1655,825785.9698,538755.0464,557642.4949,509945.4027,366200.4556,653630.6942,582704.9651,450078.0216,546206.1799,296052.8171,610420.3365,717994.6681,652533.869,422461.5339,564321.6215,505779.742,466231.0294,697208.1139,631354.2215,791332.0236,704291.1595,536476.5429,542842.0702,557039.55,593792.2601,656011.2814,657295.4444
655.131_0.65,60907.88662,357185.9933,193279.5213,113157.0727,79359.9577,522469.708,383396.0081,97664.35275,568715.7627,475082.7915,705440.0965,183489.9747,242404.0597,296136.3406,431302.0376,128934.9126,81983.77982,61399.36812,930462.8337,344493.7639,81591.09465,84988.33354,146980.4409,70037.10981,90865.2765,91342.42748,20473.46433,133317.5575,81335.03644,106968.1939,241738.0623,238302.7761,215538.2878,211259.9672,209297.8472,237737.1577
253.0693_4.15,,,,,,150606.3259,131463.5352,,199574.5287,109936.9726,808711.9452,294631.2672,234912.6017,254595.5243,,,,,,,,,181901.7695,,122487.5785,256485.1169,,320551.3582,,313732.0294,188229.107,180352.754,171680.4744,183115.5372,173656.2106,179571.4772
651.1429_4.9,34953.32459,,,25201.70448,,35049.9395,141498.5917,,,13664.1317,717729.2239,35886.45579,46911.02796,37655.45429,19271.25643,65729.90136,300531.9807,132219.5012,343052.4415,114793.5998,27380.87456,48852.37882,405004.432,133077.226,69195.62565,108330.983,391623.5307,937348.7989,223671.459,186660.8049,66032.80151,68159.46807,61259.54121,66363.08925,63153.95859,65913.23751
315.2403_4.65,778993.0328,300728.3828,384603.1576,518744.1977,482986.3626,109462.1138,252367.2622,257504.5208,125019.5716,138173.4785,159637.2491,96116.12591,79581.04508,72156.00596,77563.25064,212471.5012,267967.9025,206899.3639,556605.1493,88905.38963,130934.5162,164598.6396,241576.0921,152784.7263,246284.233,245086.5935,211549.9503,314519.988,248916.1138,144687.2994,219916.3697,202130.9063,177363.2728,190638.4028,208391.8459,197903.4679
359.2663_4.74,126949.7359,217508.8512,179430.7458,194344.9422,169288.1156,42640.17046,155066.4475,94933.56014,66543.28111,167656.5116,209268.9408,127267.6632,53689.08177,65909.58349,46882.82329,166548.4147,142069.6585,94614.31386,188272.8337,200004.9446,721147.4573,194908.9005,58456.87471,52261.35851,118576.724,101971.0987,45943.56938,141747.0942,76284.59853,55238.91109,151128.951,153441.2059,153497.3955,94452.49143,92155.61535,144790.8545
334.0985_3.0,,,,,,,,60945.04901,14370.09452,33429.82389,,744300.8161,134089.1453,27570.65925,80026.05256,,,,,,,,,,,,,,,,38412.72021,39806.46266,40428.33705,38853.06218,39896.02264,44490.34857
146.9966_0.38,619442.4156,648816.8738,598037.7616,670361.2187,518525.4309,697025.7737,707257.8685,753674.8869,699460.8296,743200.8204,726090.3399,718898.1501,634284.9134,664696.7928,678206.3297,684098.9003,665486.9784,648527.6303,662451.4227,619406.812,807474.799,762405.9766,656964.1149,662960.819,720664.9445,740921.8469,728309.9673,750425.1659,742728.4048,777961.4019,737222.3283,745104.6921,691267.7058,684528.8099,665297.3917,712303.3848
260.1373_1.06,207245.9712,337803.8196,254697.1333,295966.5691,291725.3539,403397.3956,381775.0341,349221.4939,465216.4487,347443.9509,614828.512,466843.5613,484877.7828,350514.1612,531016.8856,267182.7668,250223.6121,254061.5751,,265241.0239,376212.7309,447327.4523,456321.2298,550536.2576,471124.7734,590786.3997,641631.4444,588225.8322,743110.9586,541209.4764,425027.6026,434719.6108,433325.6151,442929.7493,440327.1555,416565.978
221.0791_2.73,,,,,,713078.2589,738171.4517,690922.3948,836291.4406,764427.9166,439845.1081,624666.715,484121.1721,545285.1634,634199.2286,,,,,,,,693111.892,794405.2477,729568.7056,645684.6807,666694.4221,692891.2382,767279.8896,697618.6178,572690.519,571193.8364,595759.4132,592580.4351,604006.9036,609865.5456
94.0058_0.51,138597.7993,521606.3249,313840.6397,157236.172,280914.5015,570752.5691,730548.2149,719053.9206,504427.6166,643054.0241,806207.0195,649393.9854,596222.6724,659949.9132,664466.2031,193386.1036,351263.2002,348989.9942,35458.73817,164795.8083,399624.3669,590452.2358,511095.1683,487699.1279,408857.5614,62415.99762,32802.28049,105953.638,487863.7021,176692.9822,412186.1388,414099.3135,439449.856,449792.6561,452033.7442,463078.76
153.054_1.78,454040.0855,784770.5259,488436.1649,590695.4217,570430.4318,449514.8761,487918.3715,385234.7237,644560.2282,554000.0309,370167.6143,319087.9368,296504.5113,217594.6632,435785.927,563080.4024,436759.6924,454592.8558,520239.8419,605949.7097,650672.693,589804.8271,505512.7853,728486.045,546667.6925,525857.9676,506273.5822,461694.7849,645289.9822,588901.0746,508163.024,506250.3842,511237.661,496625.3954,517036.1131,508426.8193
427.0293_0.54,121097.4189,830180.2425,212986.445,689966.6693,427545.1613,546426.7974,378497.1913,238832.6099,1066357.204,810617.9274,637784.328,297056.0802,458248.2405,124335.6676,427201.1735,273065.6363,132494.0235,415856.0718,118355.6226,245328.2108,447342.6931,311372.0636,489227.2618,474258.2013,220880.346,212215.5804,348689.8531,435887.1618,796401.8231,591513.67,346401.0559,430677.8848,356505.925,565950.8124,554472.1205,461447.214
338.1297_2.81,,,,,,337421.9263,787100.5451,163142.6287,796793.0424,688448.024,784347.7761,205868.134,301992.0544,112973.8955,281227.2037,,,,,,,,248856.1622,540356.9292,138822.2115,151881.8536,150024.0206,510056.3112,1097225.85,227785.6083,286965.2176,281246.9272,281662.325,294479.399,282321.6579,297088.0359
537.1201_1.09,396832.04,578915.641,422326.9773,489847.2619,457162.6234,624188.1221,722463.1001,645669.6588,682410.0101,649246.7085,731794.0168,624414.1199,671405.8867,587078.5558,713590.5425,563074.9697,475903.3782,551014.5524,298732.6103,521317.2388,597716.679,623486.0674,596424.0137,628884.9468,572443.0479,560092.9364,659116.3063,625817.0289,776896.7016,622340.8038,570660.3743,556050.2319,595955.6512,621160.6967,632149.6008,646362.0163
488.1071_0.44,180867.9573,177111.4579,79198.57449,168618.8895,106255.823,154489.6762,480875.314,458978.3294,351067.4923,600383.0818,107208.2929,257736.064,140778.5265,171188.9818,124509.1408,163843.3718,85636.53755,150906.7223,134674.1504,300161.8843,733643.9517,373932.9686,109902.4706,129829.2685,150879.464,223668.5723,144458.2741,350369.1007,197323.302,286066.3803,212568.4906,234872.925,211808.3197,221866.2514,252409.748,247342.533
96.0212_0.5,574471.5854,708342.7186,524363.5741,571974.0127,533341.3537,710953.7042,716799.6173,687481.2656,491057.432,550394.357,626317.3133,604295.2777,647920.0401,566726.3588,624948.2078,729375.2508,767980.0336,665503.8497,856648.3195,689106.7057,638251.1755,697185.7516,649084.6979,707742.4282,681226.6518,540986.651,602126.3352,587110.7765,682332.9336,466564.8298,426058.1741,645072.0052,675065.9843,658473.8126,647328.3446,637452.5625
106.0412_1.59,393522.912,555588.5603,440618.747,450709.7615,447785.733,598436.8526,743870.7824,605845.8292,683444.7377,745452.8596,438019.6235,438178.3441,343895.8203,305342.0793,459375.9303,515096.5325,428160.6297,497828.7671,412609.5588,589643.2097,616463.3786,556864.1448,402779.4589,436702.3645,415410.4101,377773.508,563121.3439,507236.2371,597854.9724,523682.5671,481064.7221,489694.1819,513864.0726,528941.8258,550648.2942,543063.7612
158.0691_0.41,504516.1048,618276.9542,578373.1363,587479.9122,454774.9357,785559.4841,728399.8272,498426.9601,540888.4232,413054.9504,724924.4571,707126.7286,741908.4125,748101.1904,539986.2364,607946.8491,601327.6753,633279.2901,533819.0596,649363.3819,508397.6588,626237.865,711844.8549,778804.2166,748996.755,642673.7319,735388.2745,801315.3882,743981.1384,527955.3566,706578.6127,699781.6512,684138.464,668279.5917,661159.645,672020.1056
202.0454_0.39,297524.0129,226936.0087,228749.7776,286945.6655,210442.3127,380186.415,354178.7275,309575.1131,352873.779,320454.3079,756795.3517,476474.2789,456586.2231,474571.0437,507587.9833,276311.5674,229410.7614,309340.2057,438376.5333,369037.1282,422051.075,357627.93,336638.3651,316148.9306,312364.2663,359248.8099,413043.4927,508058.8466,410557.0986,705106.9171,379186.5624,380851.8098,380714.804,383741.621,371983.9163,411289.4627
241.1046_3.13,,,,,,296554.7201,461896.8807,218361.1573,601442.7902,292731.2617,399120.3189,691876.043,73422.10886,435352.0556,319127.5582,,,,,,,,224059.075,235381.5366,186865.3489,324540.0749,326576.1765,515058.2234,644724.5684,363623.649,234755.5513,234846.9141,231279.9385,225376.6808,227347.8062,227761.3264
410.1141_3.11,,,,,,175294.2838,268639.5882,,499608.7046,553989.4622,652069.3097,180291.1971,216803.0581,116622.3328,261809.4513,,,,,,,,110693.7438,219121.8548,73236.63166,67499.50944,115006.5625,177868.2656,426215.2716,118742.9122,144557.2922,144023.1539,144004.2322,146422.4018,147471.6813,150644.1596
616.1565_1.09,311752.054,493034.8343,333898.6169,388025.5758,382009.824,543169.8889,597584.2558,544906.3899,580304.7278,544901.4749,626992.9575,537910.4908,553908.862,483043.6623,609001.2517,464567.0085,388952.8735,442671.0171,279522.5247,444636.4654,492156.7596,515527.5198,484958.1775,531969.1898,465622.9442,452794.5143,571071.117,527572.92,678870.3035,520075.8753,476692.5439,480508.1255,497413.1207,512321.6726,523205.0933,521077.472
188.0394_2.73,,,,,,625203.3071,626500.0747,579081.2659,696693.7251,632193.2215,527170.7204,557893.5339,459453.6402,489386.4704,563765.5663,,,,,,,,577166.0942,663620.1079,617457.6292,556876.6122,597596.8422,608586.2651,695174.0551,590850.0794,499321.584,502156.3522,488631.7714,510004.0749,507589.6517,506975.5251
84.0212_1.71,271558.2266,428982.8352,205021.6477,316831.7837,297377.9551,252198.3482,631823.8112,491896.4272,479056.4319,568014.3573,271319.4542,360099.9448,179611.0157,268382.5918,271700.9388,326426.7855,204048.5551,292525.6938,231701.0834,131103.6971,151129.8262,197833.6905,192184.1855,260030.3728,291343.2648,537765.577,401447.0161,758937.0374,518742.1936,698614.7158,351882.7402,346483.4101,366465.0044,374485.8224,405789.4594,375149.7262
144.0422_0.59,618257.6681,830540.7688,618282.4562,667840.0798,450771.423,420626.8306,504351.5651,498579.3646,534457.8085,586332.3059,804137.64,441767.3208,538366.9763,404143.5303,469260.5876,606729.4234,587971.0985,593089.6667,617587.7335,612057.6955,836675.5228,808242.7029,452552.6919,522188.6306,643632.5374,555397.1999,529968.8935,654512.0722,672583.7764,687602.7955,599579.4233,592238.4838,597583.0601,591722.5582,602681.6093,598855.2269
492.14_1.86,46074.79145,144650.7087,78065.5246,86096.20334,71128.39096,250959.3121,453486.4183,205707.8364,403718.221,293906.138,155767.8483,100932.1536,95721.00064,57911.85214,132003.7236,491596.2892,242307.9719,333949.5672,311700.0569,386153.8846,245443.9064,361339.4919,304352.4736,596436.2547,360369.3752,131455.7922,234482.7882,184540.8795,459478.3789,234515.1104,144026.2381,147035.1133,218862.0142,266626.3655,289370.5637,307017.4748
286.9729_0.73,544379.76,676804.1238,702753.7779,690399.4241,499598.8396,327461.8007,372592.6238,341325.6091,347321.778,385256.9968,622813.9197,282256.1347,717168.7364,453235.4235,546444.5825,801127.0551,719296.1371,724844.0017,558222.061,557628.145,486913.9279,677799.3742,603547.3464,583556.4106,611712.2122,304612.7625,450567.5379,431470.0592,661077.7467,507736.5547,353889.8261,373035.0423,480736.3818,544388.0852,572855.4533,615850.34
164.0396_2.73,,,,,,615944.0549,621819.666,577456.2388,738520.4679,638353.6195,564096.7423,553498.9143,451155.843,510462.8715,585047.7325,,,,,,,,600398.3392,698978.8657,617282.2519,549314.2812,570133.649,620756.3362,740505.7042,572973.5879,491289.9098,535689.675,515517.0547,507644.5928,531472.2921,534182.9843
741.1949_1.27,79008.42161,192145.3577,87593.79464,127823.719,183093.1035,337501.8346,302904.0802,123659.3653,306109.7467,222537.2018,642159.4702,334805.7657,342434.1633,338871.4701,474337.0913,129220.2361,116579.8477,121533.6199,34142.85651,197987.5074,158872.566,181657.2403,169776.8112,175165.8599,145656.2464,142039.1014,266113.5286,259923.3346,495796.9712,236302.113,235641.1832,218902.0324,239743.2644,250293.4155,265123.0057,266331.6459
246.1215_1.57,365226.3611,523589.1539,357279.1248,356482.1079,352171.7128,539388.1918,529932.0853,576052.8717,610448.2541,665991.0777,452436.687,480438.1139,491319.942,394492.6003,527848.0637,504334.7502,435500.4301,447081.8862,389163.2095,501447.5779,466576.51,430366.0674,340104.4381,427027.6063,355735.5396,265657.1641,376843.5065,299290.83,451938.4514,305810.8096,438027.4769,438052.687,450490.377,459790.549,470721.6592,452922.6701
508.1493_0.89,80685.97558,310995.3745,59806.22741,26615.96548,56119.64472,298941.9947,261741.5612,60304.79265,271936.7417,629379.3632,347415.2513,207965.0908,229676.6817,209021.1524,260008.7201,106067.2558,99222.46263,,76046.7682,237395.6452,186981.8408,282686.4257,96821.76098,81679.60722,95852.65908,35087.51819,,69969.71334,98364.72909,82711.36547,162590.319,166872.5562,158346.1806,164021.538,175529.9144,177397.8444
